what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443348747452
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1443348747713
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443348749692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443348764944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443348773685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443348776609
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1443348815622
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1443348815643
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1443348815646
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443348815720
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443348815769
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1443348815772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443348815777
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443348820688
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1443348823048
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443348834743
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443348854268
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1443348863887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349012217
error,log,,,"Error starting process.",1443349012517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349012567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349030937
error,log,,,"Error starting process.",1443349044590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349044613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349055086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349086492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349108679
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1443349116182
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443349118995
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1443349127863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349128176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349128223
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1443349138085
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object CompilersGenerator",1443349138086
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1443349148220
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1443349148238
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443349148244
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1443349150286
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443349150324
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1443349150327
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443349151537
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1443349161648
error,log,,,"Error starting process.",1443349161929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349161961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349163598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349166954
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443349175901
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1443349176233
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1443349176239
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1443349176240
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1443349176242
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1443349176250
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443349179078
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443349184078
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1443349184081
error,log,,,"An exception occurred invoking extension: org.eclipse.cdt.ui.navigator.content for object CompilersGenerator",1443349184081
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1443349188006
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443349188020
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1443349188023
