what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1443961791152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1443961794824
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443961796939
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443961809613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443961812043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443961814441
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443961815787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443961865179
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443961880708
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443961888776
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1443961909022
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443961911590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1443961921212
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1443961925293
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443961928071
closed,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1443961928071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443961930031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443961985912
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443961989096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1443961994785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962003188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962312600
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962314784
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962317613
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1443962319368
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962320013
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962322394
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1443962356570
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1443962370064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962396573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962400883
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962403135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962420095
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1443962455164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962459020
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1443962466999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1443962466999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962467004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962476930
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1443962484216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1443962484216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962484222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962487717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962503609
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962506957
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1443962506958
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962507675
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962508549
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962509484
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1443962510997
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962512157
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1443962512760
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962512760
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962516344
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1443962516344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1443962533184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962537957
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962619362
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962624094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962639113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962776766
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962791236
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443962792407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443962892903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443963111618
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1443963115030
