what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1444582850091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444582850750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444582865630
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1444582867038
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1444582873671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444582874473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444582882075
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1444582883861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444582905376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444582923594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444582925932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444582981504
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1444582986989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1444582994756
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444582995449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444583007986
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1444583047892
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1444583049616
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1444583049630
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1444583049637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444583052465
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1444583053792
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1444583053824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1444583053824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444583053829
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1444583071523
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1444583076606
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1444583081214
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1444583083745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444583086631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444583125563
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1444583209003
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1444583217033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444583219960
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1444583221982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1444583221982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444583221986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1444583230803
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1444583239725
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1444583240017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1444583240017
